 3.5000 4.0000 4.0000 4.0000 4.0000 4.0000
 2.5000 3.1667 3.0000 3.2123 2.0000 3.0000
 1.8333 2.0000 1.5000 3.0000 3.0000 2.0000
 2.7714 3.0602 2.3639 3.1337 4.0000 3.0000
 3.1667 3.3333 2.8333 3.5000 4.0000 4.0000
 2.3333 2.8333 2.3333 3.0000 2.5000 3.0000
 2.0000 1.5000 2.0000 2.5000 3.5000 4.0000
 1.6667 1.8333 2.0000 2.5000 3.0000 2.0000
 2.7556 2.7292 2.8670 2.4765 2.0000 3.0000
 2.3333 2.6667 2.5000 3.5000 3.5000 3.0000
 3.1667 3.3333 3.3333 4.0000 4.0000 4.0000
 2.3070 2.5345 2.4232 3.0802 2.3024 2.7283
 2.6697 2.7515 2.7522 2.1668 1.5000 2.7001
 3.0015 3.0443 2.9265 2.0000 2.3875 2.0000
 3.0000 3.0000 3.1667 3.0000 3.0000 2.5000
 3.0131 3.0059 3.1065 2.5381 3.5000 1.0000
 1.5000 1.5000 1.8333 2.5000 3.0000 2.0000
 2.6667 2.5000 2.6667 4.0000 2.5000 4.0000
 1.6667 2.0000 1.8333 2.5000 4.0000 2.5000
 3.3138 3.4091 3.5493 2.5000 3.0294 3.1163
 1.6667 1.6667 1.6667 2.5000 2.0000 2.0000
 2.2119 2.1256 1.5000 2.0000 3.0000 3.5000
 3.0564 3.0075 2.8717 2.9699 2.5000 2.6169
 2.5000 2.6667 2.1667 2.5000 3.0000 3.0000
 3.5000 3.6667 3.6667 3.5000 3.5000 2.0000
 1.0000 1.0000 1.0000 4.0000 1.5000 4.0000
 2.6667 2.8333 2.6667 3.0000 3.5000 4.0000
 1.6667 1.8333 1.6667 1.5000 2.0000 1.5000
 2.0000 2.1667 2.0000 3.5000 2.5000 2.0000
 2.3172 2.3880 2.3873 2.1274 2.0000 2.0000
 2.3333 2.5240 2.3333 4.0000 3.0000 2.5000
 2.0000 2.3333 1.8333 2.0000 2.0000 2.0000
 1.8333 2.3333 2.0000 4.0000 2.5000 3.0000
 1.9933 2.4742 2.4373 3.5000 3.3226 3.0000
 3.3333 3.3333 3.6667 2.5000 4.0000 4.0000
 2.1798 2.4694 2.0224 3.1933 3.0000 3.0000
 2.6667 2.6369 2.8333 3.0000 2.0000 3.4543
 1.3333 1.8438 1.1667 3.0000 1.0000 1.0000
 2.6608 2.6415 2.6808 3.5000 2.9168 3.5000
 2.1667 2.1667 2.1667 2.0000 3.0000 3.5000
 2.4063 2.5557 2.4394 2.9186 3.5000 2.5000
 2.6667 2.5000 2.5000 2.5000 2.0000 3.5000
 2.5636 2.0012 2.2874 2.0000 3.5000 2.5000
 2.0591 2.2378 2.2385 4.0000 3.4707 3.5000
 2.0000 1.8333 2.1667 3.0000 3.5000 3.0000
 2.5177 2.7992 2.8846 2.5000 3.5000 3.4786
 2.8333 3.0000 3.1667 3.7716 3.5000 4.0000
 1.9554 2.0000 2.6734 2.0000 4.0000 2.5000
 2.5464 2.5132 1.8952 2.0000 2.8519 2.5000
 2.5732 2.9241 2.8285 3.0000 3.1148 2.5000
 1.9563 2.1169 1.8852 2.0000 2.0000 2.3344
 2.6667 2.1667 2.5000 2.0000 3.5000 3.5000
 2.1667 2.1667 2.3333 3.0000 2.5000 3.5000
 2.8333 2.8333 3.0000 4.0000 3.0000 3.5000
 2.5000 2.5000 2.6667 3.0000 3.0000 3.0000
 1.8333 2.1667 2.3333 2.0000 2.5577 1.5000
 2.8333 3.1667 3.0000 3.5000 4.0000 2.5000
 2.3333 2.5000 2.0000 2.0000 2.0000 2.0000
 1.8381 1.8011 1.7751 3.0000 4.0000 4.0000
 2.6702 2.6534 2.7227 2.5512 2.5000 2.5000
 2.0000 2.1667 1.6667 3.0000 1.0000 1.5000
 2.5000 2.5000 2.1667 2.0000 1.5000 2.0000
 2.0000 2.8265 2.5000 3.5000 2.5000 3.5908
 2.1667 2.1667 2.5215 2.0000 2.5000 3.0000
 2.6667 2.3333 2.1667 4.0000 3.5000 4.0000
 2.0501 2.3895 2.3262 2.9496 3.5000 3.5000
 2.6388 2.5146 2.5021 2.2746 2.5000 2.0000
 2.3333 2.6667 2.3333 2.5000 2.0000 3.0000
 2.0000 2.3205 2.1667 2.0000 2.5000 4.0000
 3.1374 3.0676 2.8782 3.5000 3.0235 3.5000
 3.0000 3.1667 3.1667 3.0000 2.5000 4.0000
 2.3333 2.3333 2.0000 3.5000 3.5000 3.5000
 2.6540 2.8773 3.0027 2.0000 1.9464 2.6982
 3.3333 3.1667 3.6667 3.5000 4.0000 4.0000
 1.8747 2.2912 2.4377 2.4508 3.0000 1.0000
 2.3333 2.6667 2.1667 2.5000 2.5000 4.0000
 2.3333 2.6667 2.5000 3.0000 3.0000 3.0000
 2.5000 2.3333 2.3333 2.5000 2.5000 2.1723
 2.3333 2.6667 2.5000 2.0000 2.0000 3.0000
 2.2356 2.6371 2.5475 2.5000 2.0000 2.0000
 1.8333 1.8333 1.8333 2.0000 3.0000 2.0000
 2.0000 2.0000 2.0000 3.5000 2.0000 2.0000
 3.0000 3.5000 3.3333 3.0000 2.5000 3.0000
 2.3333 2.1667 2.2351 2.5000 3.0587 2.5000
 2.1667 2.0000 2.1667 2.0000 3.0000 3.0000
 2.5657 2.7415 2.6136 2.8741 3.0000 3.4232
 2.0000 2.0000 2.1667 4.0000 2.5000 4.0000
 2.3333 2.0000 2.1667 2.0000 3.0000 2.5000
 2.1667 2.1667 2.5000 2.0000 1.0000 3.2213
 2.1667 2.1667 2.5000 2.0000 1.0000 3.2160
 3.1667 3.0000 3.1667 3.5000 4.0000 4.0000
 3.1667 3.0000 3.1667 3.5000 4.0000 4.0000
 2.6667 2.5000 2.8333 4.0000 4.0000 4.0000
 2.6667 2.5000 2.8333 4.0000 4.0000 4.0000
 4.0000 3.9117 3.6667 4.0000 4.0000 4.0000
 2.1667 2.5000 3.0000 2.0000 2.5000 2.0000
 2.2386 2.3658 2.1084 2.5000 2.5000 2.6765
 1.8333 2.0000 2.1667 2.0000 2.0000 2.5000
 2.6380 2.3954 3.0200 2.5000 2.7380 2.5000
 2.3333 1.9188 1.8333 2.5000 1.0000 1.0000
 2.6714 2.4592 2.2300 4.0000 4.0000 3.3880
 2.0000 2.6667 2.5000 3.5000 1.5000 2.0000
