1 101 Male 13 1 3 0 4 0 3 4 4 4 4 4 4 4 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 2 2 2
2 38 Female 13 2 1 3 2 3 0 4 0 0 3 0 4 4 3 4 3 3 4 4 4 4 0 4 3 0 4 0 0 1 0 0 1 0 0 0 0 0 2 2 2 2 2
3 66 Male 13 1 3 0 3 0 0 3 1 4 3 1 0 4 3 3 4 4 2 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2
4 170 Male 12 -999 -999 -999 -999 -999 4 4 4 4 4 4 4 4 2 2 2 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2
5 169 Female 12 -999 -999 -999 -999 -999 4 4 0 4 3 3 4 4 1 2 3 2 0 3 0 0 0 2 0 3 0 -999 4 3 0 3 0 0 0 0 0 0 2 2 2 2 2
6 57 Female 14 2 2 1 3 2 2 1 4 3 1 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 2 2 2 2
7 58 Female 13 1 3 1 3 0 4 4 4 4 3 3 2 4 4 2 4 4 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2
8 75 Male 15 0 4 0 4 0 3 3 4 4 1 4 4 4 1 2 2 1 3 1 0 0 0 0 0 0 0 0 0 4 4 1 0 0 0 0 0 1 2 2 2 2 2
9 205 Male 15 1 3 0 2 0 4 4 1 4 0 0 0 4 4 2 4 4 4 2 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 2 2
10 109 Male 11 2 1 2 2 2 4 1 1 0 0 0 0 0 2 3 4 3 3 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 3 2 2 2 2
11 159 Male 13 2 3 0 3 0 0 2 3 2 3 0 0 4 2 2 4 4 3 2 0 0 0 1 0 4 2 0 0 0 0 0 0 0 0 1 0 0 3 3 3 3 2
12 183 Female 13 3 2 0 2 0 4 4 3 4 3 4 2 4 1 1 2 1 0 2 4 3 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 3 2 2 2
13 62 Male 16 2 2 2 2 2 4 3 2 4 4 3 4 0 1 2 4 4 3 4 4 4 4 4 4 4 4 4 4 2 1 4 3 1 1 2 2 3 6 6 6 6 6
14 197 Female 14 4 2 1 2 1 3 3 2 3 3 2 1 3 2 2 4 4 2 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 2 2 3 2
15 180 Female 12 0 0 0 3 0 3 3 1 4 3 2 2 3 3 3 3 0 3 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 2 2 2 2 2
16 66 Female 12 1 3 2 2 2 4 4 2 4 4 3 0 4 1 0 2 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 3 2
17 61 Male 11 -999 -999 -999 -999 -999 4 4 4 4 4 4 4 4 2 2 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2
18 21 Male 13 3 1 1 1 1 4 1 3 4 2 4 4 4 3 3 4 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 3
19 210 Female 16 0 3 0 3 0 4 3 3 1 1 3 4 4 3 3 3 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 3 3
