1,29,51,47,49,12,45,12,0,0,0,0,1,19
2,31,54,57,49,21,47,12,1,0,0,0,1,25
3,23,45,38,40,9,36,9,1,1,0,0,0,17
4,31,34,38,48,14,38,12,0,1,0,1,0,19
5,31,31,30,52,15,38,13,0,1,0,1,0,22
6,27,42,40,42,12,41,12,0,0,0,1,0,20
7,27,52,42,43,14,46,12,1,0,0,0,1,19
8,31,37,30,50,99999,99999,12,1,1,0,0,0,18
9,27,42,41,47,13,40,12,0,0,0,0,1,21
10,27,50,44,48,12,45,13,0,0,0,0,0,21
11,23,42,31,36,12,39,9,1,0,0,0,1,18
12,28,44,38,38,10,43,11,1,1,1,0,1,19
13,26,38,33,42,10,34,11,1,1,0,0,0,17
14,23,32,27,37,9,27,10,1,1,0,1,0,17
15,23,33,25,32,9,29,12,0,1,1,1,0,19
16,29,49,40,45,19,44,13,1,1,0,0,0,25
17,29,41,35,43,14,41,10,1,1,1,0,0,17
18,26,46,38,46,17,43,10,0,1,0,0,0,20
19,31,50,44,48,11,46,12,0,1,0,0,0,21
20,28,44,41,45,8,39,12,0,0,0,0,0,19
21,27,41,36,46,8,38,12,0,0,0,0,1,22
22,22,53,46,39,11,42,9,0,1,1,0,1,24
23,26,32,23,40,13,24,12,1,1,0,1,1,24
24,27,44,38,44,13,38,12,0,0,0,0,0,20
25,26,52,46,46,15,46,12,0,1,0,1,0,17
26,24,41,39,38,8,38,12,1,1,1,0,0,19
27,29,36,30,42,12,31,10,0,1,0,0,0,20
28,30,50,47,47,8,47,12,0,0,0,0,0,20
29,25,36,30,38,13,36,9,1,1,0,1,1,20
30,30,54,48,51,20,50,12,1,1,1,0,0,23
31,26,44,99999,46,11,35,12,1,1,0,0,1,21
32,27,44,39,43,8,44,12,1,1,0,0,1,19
33,24,48,45,36,14,44,11,0,1,0,0,0,18
34,30,44,41,48,14,40,12,1,1,0,0,1,19
35,30,55,50,48,17,50,12,0,1,0,0,0,20
36,24,45,37,48,16,39,8,1,1,1,0,0,19
37,36,53,49,51,21,50,13,0,0,0,0,0,22
38,21,33,27,33,7,29,12,0,0,1,0,0,20
39,27,42,41,45,14,40,12,1,0,1,0,1,23
40,24,35,37,37,14,34,12,0,0,0,0,0,18
41,26,43,38,40,7,37,13,99999,0,0,0,0,19
42,22,48,46,39,12,41,13,1,1,0,0,0,21
43,24,30,25,39,8,23,12,1,0,0,1,1,18
44,31,30,33,53,17,30,13,1,1,1,0,0,20
45,31,53,47,50,19,48,12,0,0,0,0,0,21
46,19,35,31,33,11,30,10,0,1,0,1,0,18
47,25,34,36,45,13,39,11,0,0,0,0,0,20
48,19,41,36,31,7,42,11,0,1,0,0,1,18
49,30,53,43,44,14,43,12,0,0,0,0,0,19
52,20,33,29,30,9,31,10,0,1,0,0,1,17
53,33,45,38,40,10,42,12,0,1,0,0,1,23
54,23,50,44,33,14,45,11,1,1,0,0,0,21
55,20,39,38,37,10,39,11,0,1,0,0,0,19
56,25,32,27,38,10,28,12,1,1,0,0,0,23
57,17,36,27,34,7,27,9,1,1,0,0,1,18
58,20,42,38,30,8,41,10,0,1,0,0,1,18
59,21,46,34,34,8,40,10,1,0,0,0,0,20
60,29,36,36,44,16,37,9,1,0,0,0,0,17
61,25,27,25,43,8,24,9,1,0,0,0,0,17
62,27,53,48,44,15,46,13,1,1,0,0,0,23
63,22,34,32,34,8,29,10,1,1,0,0,0,18
64,26,42,41,41,8,42,11,1,0,0,0,0,19
68,28,38,34,40,13,30,11,0,1,0,0,0,19
69,24,30,25,37,13,24,11,0,1,1,0,0,18
70,21,48,43,32,8,46,10,1,1,0,0,1,20
71,21,36,29,35,13,29,12,1,1,1,0,1,21
72,26,35,32,38,10,35,12,0,0,0,0,0,20
73,25,45,36,47,9,38,12,1,0,0,0,0,19
74,29,52,51,45,10,43,12,0,0,0,0,1,22
75,29,49,47,47,12,44,13,0,0,0,0,1,22
76,24,40,34,42,10,30,9,0,99999,99999,0,0,21
77,33,45,40,51,12,41,12,1,0,0,0,0,19
78,99999,39,34,30,7,35,9,0,1,0,1,1,16
79,30,46,37,49,13,38,12,0,0,0,1,0,20
80,34,51,43,51,20,44,12,1,0,0,0,0,20
