1 101 0 13 7 4 4 5 5 5 4 5 5 5 5 5 5 5 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1
2 38 1 13 8 3 2 2 3 2 1 5 1 1 4 1 5 5 3 4 3 3 3 3 5 5 1 5 4 1 5 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1
3 66 0 13 7 4 4 5 4 5 1 4 2 5 4 2 1 5 2 2 5 2 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 170 0 12 6 -999 -999 -999 -999 -999 5 5 5 5 5 5 5 5 3 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 169 1 12 6 -999 -999 -999 -999 -999 5 5 1 5 4 4 5 5 3 5 3 5 3 5 1 1 1 3 1 4 1 -999 5 4 1 4 1 1 1 1 1 1 1 1 1 1 1
6 57 1 14 9 3 3 4 4 3 3 2 5 4 2 5 5 5 3 4 4 1 3 3 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1
7 58 1 13 7 4 4 4 4 5 5 5 5 5 4 4 3 5 2 3 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 75 0 15 9 5 5 5 5 5 4 4 5 5 2 5 5 5 1 3 1 1 1 5 1 1 1 1 1 1 1 1 1 5 5 2 1 1 1 1 1 2 1 1 1 1 1
9 205 0 15 10 4 4 5 3 5 5 5 2 5 1 1 1 5 1 4 3 2 -999 3 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
10 109 0 11 6 3 2 3 3 3 5 2 2 1 1 1 1 1 3 4 4 1 1 5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 2 1 1 1 1
11 159 0 13 8 3 4 5 4 5 1 3 4 3 4 1 1 5 3 2 4 2 5 5 1 1 1 2 1 5 3 1 1 1 1 1 1 1 1 2 1 1 2 2 2 2 1
12 183 1 13 8 2 3 5 3 5 5 5 4 5 4 5 3 5 2 3 1 1 2 1 5 4 1 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1
13 62 0 16 9 3 3 3 3 3 5 4 3 5 5 4 5 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 3 2 5 4 2 2 3 3 4 5 5 5 5 5
14 197 1 14 8 1 3 4 3 4 4 4 3 4 4 3 2 4 3 2 3 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1
15 180 1 12 6 5 1 5 4 5 4 4 2 5 4 3 3 4 1 4 1 3 3 1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 1 1 1 1 1
16 66 1 12 7 4 4 3 3 3 5 5 3 5 5 4 1 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1
17 61 0 11 6 -999 -999 -999 -999 -999 5 5 5 5 5 5 5 5 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 21 0 13 8 2 2 4 2 4 5 2 4 5 3 5 5 5 3 3 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2
19 210 1 16 10 5 4 5 4 5 5 4 4 2 2 4 5 5 4 3 5 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
20 24 0 12 6 -999 -999 -999 -999 -999 3 4 5 5 4 5 5 4 1 2 1 2 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
21 207 1 12 6 -999 -999 -999 -999 -999 5 3 5 2 1 5 3 3 3 3 1 3 3 4 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2
22 144 1 12 6 -999 -999 -999 -999 -999 5 5 5 5 5 5 5 5 1 2 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
23 62 1 14 9 2 2 4 2 3 2 5 5 2 5 3 4 4 3 3 1 1 1 4 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
24 226 0 14 9 5 5 5 5 5 4 4 5 5 5 4 2 4 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
25 50 1 13 7 5 5 5 5 5 4 4 4 5 1 2 5 5 2 4 3 3 3 2 5 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1
26 8 0 14 9 5 3 3 3 3 1 2 3 4 5 5 5 5 5 4 3 2 1 1 5 4 3 2 1 1 1 1 1 5 4 3 2 1 1 1 1 1 1 1 1 1 1
27 91 0 14 9 4 4 5 4 5 5 5 4 4 4 4 5 5 2 2 1 1 3 2 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 3 2 3 3 3
28 129 1 11 6 1 1 2 2 3 2 2 4 3 4 2 1 3 3 2 4 -999 4 3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 1 1 -999 1 1
29 61 0 11 6 -999 -999 -999 -999 -999 5 4 4 2 3 3 4 3 3 3 3 4 4 4 4 3 -999 2 2 3 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
30 172 1 12 6 -999 -999 -999 -999 -999 5 2 5 5 5 5 5 5 1 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
31 42 0 15 7 4 4 5 4 5 5 5 5 5 5 5 5 5 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
32 69 1 15 10 5 5 5 5 5 3 4 1 5 1 5 5 4 1 4 1 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
33 89 0 13 7 5 5 5 5 5 5 5 5 5 3 5 5 5 2 3 3 1 1 2 1 1 2 2 1 1 1 1 1 4 1 5 1 1 1 2 3 2 1 1 1 1 1
34 14 1 13 8 5 5 5 5 5 5 4 1 5 5 5 5 5 1 1 1 1 1 1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
35 138 0 13 7 5 4 5 4 5 5 4 5 5 4 3 5 5 3 3 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
36 110 1 14 8 5 3 5 5 5 4 4 5 5 5 3 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
37 83 1 15 10 5 4 5 5 5 4 4 3 5 4 4 3 5 1 3 2 1 3 3 3 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 1 2 1 1 1
38 36 1 12 7 5 5 5 5 5 4 5 2 5 5 1 1 5 4 1 4 5 5 5 1 1 1 1 1 1 1 1 1 1 2 3 2 1 1 1 1 1 1 1 1 2 1
39 112 1 15 10 2 4 3 5 5 5 4 5 5 4 5 5 5 3 4 1 2 1 2 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
40 60 0 15 7 3 4 5 5 5 5 5 5 5 5 4 5 5 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 1 1 1 1 3 1 1 3 1 1 1 1
