Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Akron OH,Med,2011,619,66,346,324,5729,487,4704,1204,26.7,6.9,16.79,86.81,3.25,3.69,20,19,2.5,4147,77,10,86,9789,76,23,83,1.12,74,1.13,81,2.23,71,1.33,68,83,76,195,85,44,9983,209,76,483,85,68,0,28.807436919,1.4,226,1,95.7423638778,4.8,0.83,0,0
Albany NY,Med,2011,616,67,344,323,7173,755,5501,1162,47.7,14.4,16.79,86.81,3.65,3.99,26,32,2.5,8032,56,19,24,13092,62,31,50,1.16,51,1.21,45,2.57,60,1.4,63,162,56,379,28,64,33017,293,60,682,48,369,1,226.3831347388,8.3,567,2,347.8570119157,12.7,0.74,0,0
Albuquerque NM,Med,2011,630,64,352,330,5469,393,7627,1603,105,13.9,16.79,86.81,3.31,3.69,39,33,2.5,6408,62,15,48,12488,63,29,60,1.1,87,1.12,89,2.7,54,1.52,48,74,79,170,90,82,14125,288,62,658,53,841,3,431.5445227418,19.4,252,1,129.3094170404,5.8,0.98,1,2
Allentown-Bethlehem PA-NJ,Med,2011,635,63,355,333,5096,448,5399,969,27.3,6,16.79,86.81,3.41,3.79,38,42,2.5,6339,64,14,57,13247,60,30,53,1.17,47,1.21,45,2.61,58,1.39,64,128,62,289,54,69,16118,292,61,656,54,318,1,152.1704536876,7,344,1,164.6120631086,7.6,0.9,0,0
Anchorage AK,Sml,2011,307,95,172,161,1380,190,1992,386,32.3,4.7,16.79,86.81,3.8,4.17,17,26,1.5,1770,95,8,91,3627,96,17,93,1.18,37,1.23,32,2.93,46,1.79,21,31,93,144,93,16,4507,78,96,367,93,101,1,49.2886683209,2.2,258,2,125.905707196,5.5,0.69,0,0
Atlanta GA,Vlg,2011,4360,8,2372,2135,49501,2970,43201,7586,896.1,146.4,16.79,86.81,3.2,3.64,78,59,5,63521,11,23,12,142041,10,51,7,1.24,17,1.33,13,3.71,19,1.79,21,1284,11,462,11,775,191563,3135,9,1120,7,6863,3,3069.1463943509,151.5,10520,5,4704.5636119149,232.2,1.18,1,4
Austin TX,Lrg,2011,1345,35,767,712,12650,953,11004,2052,154.9,33.9,16.79,86.81,3.29,3.56,61,49,5.75,17075,32,20,19,38307,32,44,17,1.32,4,1.38,5,4.26,6,2.15,4,343,30,398,23,157,33256,810,33,930,18,1902,3,847.7993578197,40.2,2395,3,1067.5496645522,50.6,0.98,1,2
Bakersfield CA,Med,2011,544,76,304,285,2173,199,4481,1061,26.6,7.1,16.79,86.81,3.51,4.02,34,30,2.5,2240,92,6,97,4752,91,12,100,1.11,79,1.13,81,2.28,70,1.33,68,45,89,118,95,41,10995,117,91,298,98,187,1,88.1481481481,4.6,238,1,112.1885521886,5.9,0.81,0,0
Baltimore MD,Lrg,2011,2523,17,1438,1336,26805,1561,18338,3252,754.8,118.1,16.79,86.81,3.41,3.66,77,58,4.25,33060,16,19,24,70263,17,41,23,1.23,20,1.29,18,3.81,15,1.88,16,667,16,392,25,379,96445,1557,16,908,22,3742,3,1760.6780239956,82.9,11219,8,5278.7404466078,248.6,1.21,1,3
Baton Rouge LA,Med,2011,610,70,341,320,4858,283,8012,1457,15.8,3.6,16.79,86.81,3.28,3.56,44,39,5,10201,51,26,4,17122,55,42,21,1.22,23,1.26,28,3.74,17,1.87,18,210,49,526,3,148,32671,424,53,1052,9,1024,3,610.0819997664,25.3,165,1,98.304228478,4.1,1.18,0,0
Beaumont TX,Sml,2011,243,98,136,128,2985,254,3266,1011,3.9,0.7,16.79,86.81,3.29,3.56,15,15,1.5,2089,94,12,69,4205,93,25,75,1.1,87,1.13,81,1.9,89,1.22,90,42,90,248,67,19,20767,91,93,531,76,99,1,49.1821640904,2.1,40,0,19.8715814507,0.9,0.79,0,0
Birmingham AL,Med,2011,861,52,481,451,10184,810,7969,1593,19.2,2.7,16.79,86.81,3.12,3.59,45,39,3.25,10304,49,18,30,20903,49,35,40,1.19,35,1.23,32,2.97,44,1.52,48,208,50,356,36,107,38716,458,49,773,42,983,2,484.5635554705,21.5,261,1,128.658278716,5.7,0.92,0,0
Boise ID,Sml,2011,319,94,179,168,1617,166,4225,739,8,1.4,16.79,86.81,3.31,3.77,39,49,2,1662,96,8,91,3636,95,16,94,1.06,100,1.12,89,1.67,95,1.17,96,26,95,120,94,10,4879,74,97,334,95,64,0,29.2541254125,1.3,35,0,15.998349835,0.7,0.91,0,0
Boston MA-NH-RI,Vlg,2011,4320,9,2199,1979,42357,2911,34942,7265,1907.5,398.6,16.79,86.81,3.49,3.73,56,39,5,66615,8,26,4,136966,11,53,5,1.28,6,1.35,6,4.25,8,2.02,8,1338,8,526,3,561,129308,2922,11,1147,6,5827,3,2834.0289195859,124.3,37943,19,18454.0173838763,809.4,1.02,1,4
Boulder CO,Sml,2011,152,101,85,80,682,63,1039,200,NA,NA,16.79,86.81,3.27,3.67,17,22,3,1193,100,12,69,2237,101,22,86,1.18,37,1.2,50,3.68,20,1.79,21,24,97,229,75,5,825,45,101,436,88,50,1,26.6651765758,1,116,1,61.8632096558,2.4,0.87,0,0
Bridgeport-Stamford CT-NY,Med,2011,938,50,524,491,10873,686,5974,1354,39.1,11.6,16.79,86.81,3.59,3.9,59,40,5,12226,41,19,24,26503,41,42,21,1.27,8,1.27,24,4.4,4,2.05,7,246,42,392,25,111,11199,566,42,902,24,1107,2,510.666037807,23.7,382,1,176.2189940761,8.2,1.09,0,0
Brownsville TX,Sml,2011,214,100,120,112,842,81,1517,432,15.1,1.8,16.79,86.81,3.29,3.56,17,24,1.5,2292,91,15,48,3697,94,25,75,1.18,37,1.19,55,1.46,99,1.18,94,46,88,308,46,23,2414,85,95,565,72,69,1,42.7773870706,1.6,316,3,195.9080335407,7.3,0.73,0,0
Buffalo NY,Lrg,2011,1048,46,508,472,6931,815,9604,2380,101.8,30.5,16.79,86.81,3.65,3.99,20,21,4,11611,46,18,30,21545,48,33,45,1.17,47,1.19,55,2.79,52,1.48,52,234,46,357,35,102,48933,474,47,718,43,539,1,290.4770944535,11.9,1513,3,815.3837549315,33.3,0.67,1,2
Cape Coral FL,Sml,2011,473,83,265,249,1793,154,5879,911,19.1,3.5,16.79,86.81,3.24,3.65,43,40,2.25,5118,68,15,48,9964,74,30,53,1.15,57,1.2,50,1.86,91,1.13,98,103,67,302,49,53,6033,220,71,645,56,501,2,257.3382175833,11.1,173,1,88.8613006825,3.8,1.08,0,0
Charleston-North Charleston SC,Med,2011,535,77,299,280,3754,268,6021,858,17.2,4.5,16.79,86.81,3.14,3.53,52,51,4.25,5108,70,14,57,10885,68,30,53,1.15,57,1.18,61,3.24,29,1.56,41,103,67,280,55,58,10677,240,68,647,55,354,1,166.1214515388,7.8,126,0,59.1279742765,2.8,1.15,0,0
Charlotte NC-SC,Lrg,2011,1070,43,610,567,12797,978,10066,1686,139.3,26.9,16.79,86.81,3.32,3.64,59,51,4,14599,37,20,19,28974,38,40,25,1.2,27,1.26,28,3.2,31,1.61,39,296,36,412,19,168,69136,653,37,898,25,1313,2,661.5754469524,29.6,1087,2,547.7018361289,24.5,0.99,1,2
Chicago IL-IN,Vlg,2011,8605,3,4707,3959,62791,3500,51500,13959,4098.9,646.6,16.79,86.81,3.51,3.74,88,70,5.25,127016,3,24,8,271718,3,51,7,1.25,14,1.31,16,3.95,13,2.02,8,2320,3,434,16,1716,362328,6214,3,1153,5,11710,3,5473.9007353212,267.8,67432,17,31521.441023414,1542.1,1.16,1,4
Cincinnati OH-KY-IN,Lrg,2011,1717,27,986,887,19370,1358,13323,2890,112,20.7,16.79,86.81,3.25,3.69,47,35,4,20783,27,18,30,42785,29,37,37,1.2,27,1.23,32,3.2,31,1.65,33,421,26,364,33,230,65182,947,27,814,33,1313,1,637.7954657006,29.1,2305,3,1119.6637840365,51,1,0,0
Cleveland OH,Lrg,2011,1700,28,955,857,18569,1580,12222,3111,195.2,47,16.79,86.81,3.25,3.69,21,21,4,17481,31,15,48,34980,36,31,50,1.16,51,1.2,50,2.49,63,1.48,52,350,29,308,46,130,68720,736,36,642,57,1193,1,596.1930531732,25.1,3432,4,1715.1169811321,72.3,0.83,1,3
Colorado Springs CO,Med,2011,557,74,311,292,4624,407,5129,1335,21.1,3,16.79,86.81,3.27,3.67,32,28,3,4128,78,11,80,9941,75,26,71,1.13,68,1.16,69,3.06,39,1.47,55,83,76,214,81,36,6588,205,77,530,78,343,1,142.4307413741,7.1,325,1,134.9562418268,6.7,0.8,0,0
Columbia SC,Sml,2011,490,81,275,258,6106,495,5174,1054,9.6,1.8,16.79,86.81,3.14,3.53,34,40,1.5,4850,73,14,57,10081,72,30,53,1.11,79,1.14,78,1.95,88,1.21,91,98,71,291,53,58,12552,225,69,663,52,184,1,88.5229639917,4.1,301,1,144.8120226168,6.7,0.9,0,0
Columbus OH,Lrg,2011,1289,36,735,683,16466,1104,10872,2170,72.3,19,16.79,86.81,3.25,3.69,49,36,4,15494,36,18,30,35689,34,40,25,1.18,37,1.22,37,2.86,50,1.51,50,311,34,353,39,145,70584,753,35,847,29,1150,2,499.2602762756,24.3,755,1,327.7752248592,15.9,1.05,0,0
Corpus Christi TX,Sml,2011,337,93,189,177,2942,320,2706,757,26.7,6,16.79,86.81,3.29,3.56,12,16,1.5,1340,99,6,97,3160,98,14,98,1.04,101,1.11,95,1.44,100,1.1,99,9,101,39,101,14,12484,67,99,287,100,30,0,12.7215189873,0.6,122,1,51.7341772152,2.6,0.67,0,0
Dallas-Fort Worth-Arlington TX,Vlg,2011,5260,6,3161,3003,62600,3650,44012,10000,468.2,73,16.79,86.81,3.29,3.56,70,44,5,74806,7,20,19,167718,6,45,13,1.26,10,1.33,13,4,11,1.94,14,1505,7,405,20,734,230466,3578,6,957,15,10595,4,4725.6082829511,226,6292,2,2806.3735079121,134.2,1.16,1,3
Dayton OH,Med,2011,745,54,416,390,7384,681,6335,1537,45.7,10.6,16.79,86.81,3.25,3.69,25,24,2.5,6106,66,12,69,12442,65,24,80,1.11,79,1.13,81,2.37,67,1.31,73,123,65,235,70,52,34109,265,64,507,81,275,1,134.9582060762,5.9,347,1,170.2927182125,7.4,0.79,0,0
Denver-Aurora CO,Lrg,2011,2348,19,1477,1396,22205,1463,21575,3840,542.2,98.1,16.79,86.81,3.27,3.67,72,59,5.25,34510,15,20,19,76154,15,45,13,1.27,8,1.34,10,4.08,9,2.01,11,695,15,403,21,316,76748,1612,15,937,16,4447,3,2015.2056359482,94.1,6007,4,2722.1363290175,127.1,1.09,1,3
Detroit MI,Vlg,2011,3869,12,2190,2054,32778,2169,46953,8613,309,49.6,16.79,86.81,3.46,3.74,60,47,5,48705,12,18,30,106434,12,40,25,1.18,37,1.22,37,3.22,30,1.63,36,982,12,370,30,475,161391,2287,12,859,27,3853,2,1763.1618185918,82.8,2355,1,1077.6657365128,50.6,1.08,1,1
El Paso TX-NM,Med,2011,739,55,413,387,5684,516,6314,1604,85.7,16.4,16.79,86.81,3.29,3.56,31,25,3.5,8500,54,17,40,15990,56,32,47,1.21,25,1.22,37,3.37,27,1.7,29,171,54,335,41,81,32105,353,56,688,46,1009,3,536.3664790494,22.3,1169,3,621.4196372733,25.8,0.79,0,0
Eugene OR,Sml,2011,256,96,144,135,1763,164,1866,415,47.2,11.7,16.79,86.81,3.56,3.91,18,23,1.5,1002,101,6,97,2271,100,13,99,1.08,95,1.09,99,1.73,94,1.26,84,20,99,114,96,14,3682,51,100,284,101,122,1,53.8282694848,2.7,339,3,149.571994716,7.6,0.8,0,0
Fresno CA,Med,2011,686,61,383,359,3857,283,6318,1407,37.7,13,16.79,86.81,3.51,4.02,42,38,2.5,3124,83,7,95,7376,82,15,95,1.08,95,1.08,100,1.79,92,1.23,89,40,92,85,97,41,9612,164,82,337,94,527,1,223.203362256,11.7,227,1,96.1426247289,5,0.95,0,0
Grand Rapids MI,Med,2011,612,69,342,321,5624,527,7725,1769,43.6,11,16.79,86.81,3.46,3.74,29,33,2.5,4572,75,11,80,10016,73,24,80,1.09,93,1.12,89,1.99,86,1.26,84,92,73,216,79,44,38029,215,73,501,83,207,1,94.4892172524,4.5,318,1,145.1573482428,6.8,0.8,0,0
Greensboro NC,Sml,2011,351,92,197,185,4583,575,3178,728,44.4,5.7,16.79,86.81,3.32,3.64,18,28,1.5,3005,84,12,69,6625,84,27,68,1.1,87,1.13,81,1.59,96,1.14,97,60,82,245,68,35,51616,146,83,588,66,331,2,150.1366037736,7.3,191,1,86.6347169811,4.2,0.63,0,0
Hartford CT,Med,2011,905,51,500,468,11693,950,7428,1664,106.5,17.3,16.79,86.81,3.59,3.9,41,29,3.5,11299,47,18,30,22995,45,38,30,1.18,37,1.21,45,2.79,52,1.53,46,226,47,368,31,75,42754,479,46,781,39,954,2,468.7647749511,19.9,1460,3,717.3968253968,30.4,0.88,0,0
Honolulu HI,Med,2011,719,56,402,377,6265,487,3148,526,411.1,72.2,16.79,86.81,3.66,4.43,60,52,4.25,11298,48,24,8,20873,50,45,13,1.36,2,1.51,1,3.92,14,2.25,3,225,48,485,9,53,10246,427,52,928,20,1065,3,576.4561874192,21.8,643,2,348.0388061132,13.1,0.96,1,2
Houston TX,Vlg,2011,4129,10,2440,2274,54700,3280,40768,8100,560,81.9,16.79,86.81,3.29,3.56,69,49,5.75,65852,9,23,12,145832,9,52,6,1.26,10,1.35,6,3.67,21,1.84,19,1324,9,463,10,646,233723,3120,10,1090,8,15113,7,6824.4368588513,323.4,6733,3,3040.3581929892,144.1,1.15,1,2
Indianapolis IN,Lrg,2011,1234,38,703,653,14205,1082,14283,2296,39.9,9.5,16.79,86.81,3.34,3.7,62,57,4,16748,34,19,24,35186,35,41,23,1.17,47,1.22,37,2.5,62,1.41,61,340,31,393,24,241,85407,817,32,930,18,756,1,359.8444836014,17.6,609,1,289.8747229012,14.1,1.02,1,1
Indio-Cathedral City-Palm Springs CA,Med,2011,585,72,327,306,1058,110,4473,817,24.4,4.4,16.79,86.81,3.51,4.02,31,37,2.5,2781,86,7,95,6036,87,15,95,1.08,95,1.11,95,1.88,90,1.21,91,25,96,61,99,37,5534,138,86,331,96,206,1,94.9115308151,4.7,168,1,77.4035785288,3.8,0.93,0,0
Jackson MS,Sml,2011,426,86,239,224,4664,376,6501,1660,4,0.6,16.79,86.81,3.21,3.54,23,22,1.5,4024,79,13,60,7535,81,25,75,1.1,87,1.12,89,2.2,74,1.27,82,83,76,269,59,63,17253,183,79,594,64,260,1,138.8506967485,6.3,72,0,38.4509621765,1.8,0.85,0,0
Jacksonville FL,Lrg,2011,1083,42,617,573,12226,933,9360,1569,72.9,13,16.79,86.81,3.24,3.65,55,50,4,10300,50,13,60,22629,46,30,53,1.14,61,1.19,55,2.45,65,1.35,67,207,51,271,57,103,42002,486,45,635,58,1326,2,603.5529630121,28.5,501,1,228.039241681,10.8,0.99,1,1
Kansas City MO-KS,Lrg,2011,1585,29,903,839,21701,2096,12242,3419,69.5,16.8,16.79,86.81,3.24,3.54,23,23,4,12660,39,12,69,29448,37,27,68,1.13,68,1.15,73,2.64,55,1.44,57,256,38,235,70,148,72882,640,38,584,68,1395,2,599.7249388753,30.3,538,1,231.2917685412,11.7,0.74,0,0
Knoxville TN,Med,2011,508,80,285,267,5438,373,6541,1202,15.4,3,16.79,86.81,3.21,3.57,31,32,2.5,6339,64,18,30,13247,60,37,37,1.16,51,1.19,55,2.02,84,1.33,68,128,62,355,37,63,12104,287,63,792,36,560,2,267.9731259908,12.1,89,0,42.588586095,1.9,1.06,0,0
Lancaster-Palmdale CA,Med,2011,606,71,339,317,1005,77,3878,806,40.7,3.1,16.79,86.81,3.51,4.02,29,32,2.5,2744,88,6,97,6541,85,15,95,1.08,95,1.11,95,1.48,98,1.18,94,21,98,50,100,24,2767,136,87,317,97,140,0,58.7310808745,2.9,541,2,226.9536768078,11.3,0.95,0,0
Laredo TX,Sml,2011,235,99,132,124,586,77,1917,365,10.9,3.2,16.79,86.81,3.29,3.56,96,125,1.5,1423,97,8,91,3074,99,19,92,1.14,61,1.15,73,2.07,81,1.41,61,29,94,171,89,20,31171,71,98,418,91,60,0,27.7748861418,1.4,154,1,71.2888744307,3.5,0.82,0,0
Las Vegas NV,Lrg,2011,1443,34,823,764,11980,750,15145,2750,209.6,59.1,16.79,86.81,3.4,3.73,78,58,4,21491,24,21,17,45419,28,44,17,1.2,27,1.28,20,3.14,35,1.63,36,429,24,417,17,137,36032,931,29,906,23,2531,3,1197.5983839362,51.9,2184,3,1033.4076928158,44.7,1.13,1,1
Little Rock AR,Sml,2011,464,84,260,244,7915,672,4913,1157,14.7,2.8,16.79,86.81,3.13,3.61,32,32,2,3591,80,12,69,8132,80,26,71,1.07,99,1.07,101,2.2,74,1.33,68,49,87,158,92,33,15286,171,81,545,74,474,2,209.3130841122,10,23,0,10.1565420561,0.5,0.84,1,1
Los Angeles-Long Beach-Santa Ana CA,Vlg,2011,13229,2,7289,6597,137813,5827,116970,20000,3405.1,665.8,16.79,86.81,3.51,4.02,94,62,8,219710,2,27,3,501881,2,61,2,1.37,1,1.39,3,4.95,2,2.5,2,3578,2,436,15,2290,412152,10785,2,1300,2,61264,9,26819.7310517832,1316.4,32345,5,14159.7708420921,695,1.57,1,4
Louisville KY-IN,Lrg,2011,1084,41,618,574,12250,864,9384,1779,65.9,15.6,16.79,86.81,3.29,3.61,57,49,4,12507,40,17,40,26253,42,35,40,1.18,37,1.22,37,3.09,38,1.64,35,253,40,340,40,145,55941,584,41,776,40,691,1,329.1942635127,15.4,657,1,312.9965718204,14.6,1.02,0,0
Madison WI,Sml,2011,403,88,226,212,3499,289,2935,755,53,15.1,16.79,86.81,3.42,3.71,26,31,1.5,2609,89,10,86,5349,90,20,89,1.11,79,1.12,89,2.3,69,1.38,65,53,85,194,86,29,17534,119,88,436,88,112,1,54.628528697,2.5,360,2,175.5916993831,8,0.84,0,0
McAllen TX,Med,2011,578,73,323,303,3192,275,6178,1536,1.5,0.1,16.79,86.81,3.29,3.56,30,41,2.5,6487,61,16,43,11469,67,28,63,1.16,51,1.2,50,3.01,41,1.44,57,130,61,320,45,44,7788,245,67,599,63,73,0,41.2896503618,1.6,110,0,62.2172813672,2.4,0.82,0,0
Memphis TN-MS-AR,Lrg,2011,1058,45,603,560,8541,667,12832,3335,54,10.4,16.79,86.81,3.21,3.57,33,30,4,14440,38,19,24,28700,39,38,30,1.18,37,1.23,32,3,43,1.53,46,291,37,384,27,153,99459,636,39,833,31,1104,2,555.4620209059,24.5,690,1,347.1637630662,15.3,0.86,1,1
Miami FL,Vlg,2011,5482,4,3163,2875,43452,2272,50848,7662,968.4,163.3,16.79,86.81,3.24,3.65,94,81,5,93863,4,25,6,174612,5,47,11,1.25,14,1.35,6,3.6,23,1.72,28,1885,4,498,6,739,155425,3749,5,993,13,15073,5,8102.5187215083,323.6,11589,4,6229.6881485809,248.8,1.35,1,3
Milwaukee WI,Lrg,2011,1496,32,832,790,11490,843,15200,4006,154.5,47.3,16.79,86.81,3.42,3.71,34,26,4,11797,45,12,69,27755,40,28,63,1.15,57,1.19,55,3.15,34,1.66,31,237,45,232,74,131,67328,599,40,585,67,2113,3,898.1106467303,45.6,1922,2,816.927904882,41.5,0.9,0,0
Minneapolis-St. Paul MN,Lrg,2011,2757,16,1571,1460,30383,2054,23919,5289,506.4,94.5,16.79,86.81,3.39,3.72,50,35,5,22100,22,12,69,60788,19,34,44,1.21,25,1.29,18,3.14,35,1.79,21,444,21,249,65,232,97828,1260,19,695,45,5881,4,2138.0881094953,121.9,4152,3,1509.495295124,86.1,1.02,1,2
Nashville-Davidson TN,Lrg,2011,1145,39,653,606,14974,1077,11405,2161,69.9,9.8,16.79,86.81,3.21,3.57,48,49,4,18652,30,24,8,35781,33,47,11,1.23,20,1.28,20,3.63,22,1.79,21,377,28,491,7,199,66124,801,34,1034,11,1406,2,732.9228361421,31.5,688,1,358.6421843995,15.4,1.01,0,0
New Haven CT,Med,2011,616,67,344,323,7860,589,4018,1014,32,9.3,16.79,86.81,3.59,3.9,39,29,3.25,6966,59,16,43,14560,59,35,40,1.17,47,1.2,50,3.02,40,1.56,41,139,59,327,43,50,8271,304,59,717,44,481,1,230.1267857143,10.1,336,1,160.7538461538,7,0.93,0,0
New Orleans LA,Lrg,2011,1065,44,566,525,4763,375,7670,1774,67.2,19.9,16.79,86.81,3.28,3.56,44,36,4,9353,52,13,60,19125,52,28,63,1.2,27,1.22,37,3.8,16,1.88,16,190,52,270,58,127,34397,441,51,629,59,1191,2,582.4534901961,27.4,1748,3,854.8519738562,40.3,0.89,1,2
New York-Newark NY-NJ-CT,Vlg,2011,18946,1,9056,6040,117496,7600,112322,19837,21434.6,4114.5,16.79,86.81,3.65,3.99,72,52,6.75,255798,1,28,2,544063,1,59,4,1.33,3,1.4,2,4.44,3,2.13,6,5146,1,557,2,2541,481177,11837,1,1281,3,53981,9,25379.8399045699,1174.4,440647,49,207175.678746763,9586.8,1.11,1,4
Oklahoma City OK,Med,2011,983,48,549,515,10647,924,13048,2751,14.2,2.8,16.79,86.81,3.26,3.53,38,37,2.5,12035,44,18,30,25182,43,38,30,1.15,57,1.18,61,2.48,64,1.46,56,242,43,362,34,115,38161,543,43,803,34,274,1,130.9502819474,5.9,170,0,81.2465252958,3.7,0.86,0,0
Omaha NE-IA,Med,2011,646,62,361,338,5119,442,6725,1384,19.4,4.1,16.79,86.81,3.44,3.64,44,39,2.5,4737,74,11,80,10721,69,24,80,1.11,79,1.13,81,2.15,77,1.29,78,95,72,217,77,32,8764,219,72,494,84,792,2,349.9397444268,16.2,175,1,77.3225445388,3.6,0.87,0,0
Orlando FL,Lrg,2011,1475,33,841,781,13353,1036,16909,2408,160.8,28.5,16.79,86.81,3.24,3.65,80,75,4,23336,21,22,15,46607,25,45,13,1.2,27,1.27,24,2.58,59,1.42,60,471,20,450,13,248,63858,1031,23,984,14,2746,4,1374.9148411183,60.8,1704,2,853.1882335272,37.7,1.07,0,0
Oxnard CA,Med,2011,710,59,397,372,7015,392,6324,1214,21.1,4.5,16.79,86.81,3.51,4.02,59,43,2.5,5029,71,10,86,12445,64,26,71,1.1,87,1.11,95,2.44,66,1.48,52,87,74,182,88,55,9320,265,64,543,75,330,1,133.3523503415,7,215,1,86.8810767376,4.6,1.22,0,0
Pensacola FL-AL,Sml,2011,361,91,203,190,1419,187,5058,820,6.8,1.4,16.79,86.81,3.24,3.65,34,37,1.5,2755,87,11,80,5655,88,22,86,1.11,79,1.16,69,1.31,101,1.09,100,55,84,215,80,22,6415,119,88,463,86,89,0,43.358974359,1.9,54,0,26.3076923077,1.2,0.93,0,0
Philadelphia PA-NJ-DE-MD,Vlg,2011,5381,5,3019,2406,34246,2676,45784,8339,1787.2,358.6,16.79,86.81,3.41,3.79,61,54,5,75558,6,23,12,156027,7,48,9,1.26,10,1.34,10,3.46,24,1.75,27,1520,6,458,12,730,175393,3387,7,1018,12,10237,4,4957.3935664981,222.2,30167,13,14608.7419869638,654.9,0.97,1,4
Phoenix-Mesa AZ,Vlg,2011,3679,13,2001,1801,29657,1731,35248,7306,351.9,71.8,16.79,86.81,3.19,3.68,71,52,5,46166,14,20,19,82554,14,35,40,1.18,37,1.27,24,3.19,33,1.63,36,944,14,401,22,627,131234,1969,14,837,30,4660,3,2605.9737868547,111.2,2541,1,1420.9827022313,60.6,1.15,1,2
Pittsburgh PA,Lrg,2011,1761,26,997,926,11431,1350,16218,3726,303.7,65.4,16.79,86.81,3.41,3.79,25,34,4,21443,25,18,30,46725,24,39,28,1.24,17,1.3,17,3.14,35,1.77,26,431,23,355,37,213,70352,1007,24,826,32,1686,2,773.7377849117,36.3,5753,6,2640.1622043874,124,0.69,1,3
Portland OR-WA,Lrg,2011,1925,23,1007,932,15084,967,14039,2667,499.3,113.4,16.79,86.81,3.56,3.91,68,51,4.5,24949,19,21,17,51987,20,44,17,1.28,6,1.35,6,4.26,6,2.15,4,503,18,415,18,244,65610,1130,21,937,16,4610,5,2212.3779021679,100.2,6951,7,3335.8435570431,151.1,1.1,1,3
Poughkeepsie-Newburgh NY,Med,2011,550,75,307,288,5123,519,4779,919,27.2,1.7,16.79,86.81,3.65,3.99,29,37,2.5,4965,72,13,60,9787,77,25,75,1.12,74,1.15,73,2.13,79,1.21,91,100,70,251,64,42,13850,212,74,531,76,124,0,62.9058955758,2.7,395,1,200.3857157454,8.6,0.79,0,0
Providence RI-MA,Lrg,2011,1236,37,685,636,11861,1069,10431,2189,96.2,20.2,16.79,86.81,3.53,3.76,33,34,4,12148,42,15,48,24618,44,30,53,1.16,51,1.19,55,2.86,50,1.55,43,242,43,293,51,69,21863,503,44,611,62,513,1,253.1450158421,10.5,1184,2,584.2567227232,24.2,0.83,0,0
Provo-Orem UT,Sml,2011,479,82,269,252,4031,292,3141,706,NA,NA,16.79,86.81,3.33,3.69,32,35,1.5,3459,81,10,86,8312,79,25,75,1.14,61,1.15,73,4.39,5,1.54,44,69,81,208,83,30,12905,172,80,514,80,369,1,153.5576275265,7.7,80,0,33.291626564,1.7,0.97,1,2
Raleigh-Durham NC,Lrg,2011,1142,40,651,605,12738,1000,12427,2216,100.4,24.4,16.79,86.81,3.32,3.64,50,52,4,8407,55,11,80,17923,54,23,83,1.14,61,1.21,45,2.34,68,1.33,68,170,55,217,77,96,50194,396,55,502,82,742,1,348.0440774424,16.4,638,1,299.2616191486,14.1,0.96,0,0
Richmond VA,Med,2011,974,49,544,510,11843,1107,9982,2254,65.8,12.8,16.79,86.81,3.29,3.6,33,36,2.5,7944,57,12,69,19499,51,29,60,1.11,79,1.14,78,2.22,72,1.28,80,159,57,234,72,62,38036,398,54,581,69,769,2,313.2948356326,15.7,806,2,328.3688394277,16.5,0.79,0,0
Riverside-San Bernardino CA,Lrg,2011,2025,22,1112,1033,22302,1060,14021,2807,135,24.5,16.79,86.81,3.51,4.02,82,52,4,21243,26,16,43,51195,21,38,30,1.23,20,1.23,32,3.31,28,1.81,20,339,32,257,60,310,109604,1152,20,854,28,4554,4,1889.6498095517,102.5,1428,1,592.5384119543,32.1,1.41,0,0
Rochester NY,Med,2011,749,53,419,392,6302,600,6588,1572,64.9,17.6,16.79,86.81,3.65,3.99,17,18,2.5,6719,60,13,60,14850,58,28,63,1.13,68,1.17,63,1.96,87,1.28,80,134,60,257,60,51,26369,309,58,590,65,388,1,175.5536700337,8,514,1,232.5633670034,10.7,0.77,0,0
