name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
phyhlth7,phys7_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth8,phys8_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress1,depre1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress2,depre2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress3,depre3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress4,depre4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress5,depre5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Depress6,depre6_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied1,gotBu1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied2,gotBu2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied3,gotBu3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied4,gotBu4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied5,gotBu5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied6,gotBu6_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied7,gotBu7_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied8,gotBu8_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullied9,gotBu9_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier1,buOth1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier2,buOth2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier3,buOth3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier4,buOth4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier5,buOth5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier6,buOth6_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier7,buOth7_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier8,buOth8_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Bullier9,buOth9_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Alc1,alc1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Alc2,alc2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Alc3,alc3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Alc4,alc4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
Alc5,alc5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
